,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol
ENSG00000035687,199.5440748,0.094414196,0.055372049,1.705087632,0.088178082,0.169836608,ADSS2
ENSG00000035720,33.78038183,0.883142761,0.207707975,4.251848109,2.12E-05,0.000124923,STAP1
ENSG00000035862,307.8299356,0.526312277,0.117850226,4.46594203,7.97E-06,5.36E-05,TIMP2
ENSG00000036257,149.8855621,-0.169117738,0.02954045,-5.724954727,1.03E-08,1.84E-07,CUL3
ENSG00000036448,28.79861826,-0.33666369,0.091264754,-3.688868639,0.000225253,0.000980181,MYOM2
ENSG00000036549,91.22845184,-0.091792107,0.037075657,-2.475805294,0.013293605,0.034030753,ZZZ3
ENSG00000036672,20.26347089,-0.295318167,0.111880966,-2.639574693,0.008301013,0.022730428,USP2
ENSG00000037474,170.508103,-0.109312449,0.061127216,-1.788277905,0.073731183,0.146331375,NSUN2
ENSG00000038210,128.753283,0.166340763,0.051784129,3.212195857,0.001317245,0.004541373,PI4K2B
ENSG00000038274,357.1531785,-0.090378476,0.044335996,-2.03848983,0.041500971,0.090548633,MAT2B
ENSG00000038382,46.20512743,-0.074061717,0.044162494,-1.677027506,0.093537103,0.178431879,TRIO
ENSG00000038427,62.09696048,0.65093564,0.185094054,3.516783096,0.000436811,0.001747918,VCAN
ENSG00000039068,272.2114765,-0.305563476,0.0966288,-3.162240204,0.001565604,0.005288852,CDH1
ENSG00000039319,9.16222675,0.161678931,0.093025194,1.738012291,0.082208648,0.159986396,ZFYVE16
ENSG00000039523,26.70658787,0.452110064,0.103442878,4.370625324,1.24E-05,7.79E-05,RIPOR1
ENSG00000039537,13.01557145,-0.346628496,0.101337066,-3.420549949,0.000624947,0.002381685,C6
ENSG00000039560,38.8480421,0.266442485,0.131137941,2.03177267,0.042176675,0.091862006,RAI14
ENSG00000039987,381.1901091,-0.957309527,0.247587539,-3.866549717,0.000110386,0.000524435,BEST2
ENSG00000040199,11.87892985,-0.732463508,0.141201792,-5.187352791,2.13E-07,2.40E-06,PHLPP2
ENSG00000040487,24.89758309,0.135685376,0.066242727,2.048306007,0.040530025,0.088792037,SLC66A1
ENSG00000040608,16.72719299,0.138314111,0.073692995,1.876896331,0.060532304,0.124083114,RTN4R
ENSG00000040933,33.88988546,0.315001533,0.07847474,4.014050035,5.97E-05,0.000307051,INPP4A
ENSG00000041353,24.2506489,0.474978154,0.136359328,3.483283171,0.000495304,0.001944889,RAB27B
ENSG00000041357,1054.46993,0.266478667,0.044883015,5.937182888,2.90E-09,6.39E-08,PSMA4
ENSG00000041802,102.8004709,-0.169434399,0.096865252,-1.749176266,0.080260555,0.156903221,LSG1
ENSG00000041880,63.89626142,0.230374158,0.06267437,3.67573156,0.000237169,0.001025774,PARP3
ENSG00000041982,158.0355515,2.186131076,0.25112802,8.705245534,3.17E-18,5.41E-16,TNC
ENSG00000042062,6.828970991,0.413994086,0.14890043,2.780341768,0.005430172,0.015688285,RIPOR3
ENSG00000042088,90.32533911,0.197846922,0.06122853,3.231286487,0.001232344,0.004295771,TDP1
ENSG00000042429,103.3260694,-0.063905869,0.033297622,-1.919232207,0.054954953,0.114422905,MED17
ENSG00000042445,267.5585512,-0.622443478,0.122467566,-5.082516939,3.72E-07,3.89E-06,RETSAT
ENSG00000042493,241.72406,0.22709022,0.071355615,3.182513662,0.001460026,0.004973315,CAPG
ENSG00000042980,52.26831833,0.399204865,0.119179849,3.34960035,0.000809282,0.002988801,ADAM28
ENSG00000043093,40.64337332,0.112001604,0.061879233,1.810003117,0.070295304,0.140500114,DCUN1D1
ENSG00000043462,225.8233379,1.527707376,0.207262204,7.370892262,1.69E-13,1.28E-11,LCP2
ENSG00000043514,36.19940489,-0.111106807,0.052848005,-2.102384117,0.035519641,0.079555388,TRIT1
ENSG00000043591,11.9159452,-0.190723254,0.089639351,-2.127673295,0.033364181,0.075424034,ADRB1
ENSG00000044012,716.0147776,-1.012091455,0.32859777,-3.080031413,0.002069788,0.006745492,GUCA2B
ENSG00000044446,54.07128064,-0.456364157,0.070070745,-6.512905705,7.37E-11,2.76E-09,PHKA2
ENSG00000044459,10.20365076,0.314446161,0.096723502,3.250979911,0.00115008,0.004039851,CNTLN
ENSG00000044574,377.2263532,0.187638233,0.101971295,1.840108374,0.065752328,0.132839381,HSPA5
ENSG00000046647,36.72850016,0.100559485,0.055873871,1.799758706,0.071898747,0.143280701,GEMIN8
ENSG00000047230,81.81113931,-0.168709486,0.04913191,-3.433806791,0.000595168,0.002281625,CTPS2
ENSG00000047410,168.6532358,0.197096384,0.106084185,1.857924298,0.063179765,0.128646431,TPR
ENSG00000047578,22.28322226,-0.162930511,0.057604955,-2.828411415,0.004677965,0.013794887,KATNIP
ENSG00000047621,64.02331494,0.139181759,0.052194764,2.666584669,0.00766263,0.021157744,FERRY3
ENSG00000047634,38.28397833,-0.142544983,0.08509496,-1.675128391,0.093909044,0.179075388,SCML1
ENSG00000047644,45.04475081,0.188710396,0.078879237,2.392396323,0.016738756,0.04159506,WWC3
ENSG00000047662,12.53326989,-0.27085764,0.10859275,-2.494251593,0.012622304,0.032515994,FAM184B
ENSG00000047849,52.11210551,0.159884388,0.042130421,3.794986677,0.000147651,0.000679643,MAP4
ENSG00000047932,147.6520497,-0.262028096,0.043403477,-6.037030111,1.57E-09,3.84E-08,GOPC
ENSG00000048462,212.3616543,0.927884913,0.230313317,4.028794016,5.61E-05,0.000290536,TNFRSF17
ENSG00000048471,20.25109805,0.244802952,0.075868464,3.226675997,0.001252372,0.004354832,SNX29
ENSG00000048707,60.66722218,-0.239021925,0.04942612,-4.835943517,1.33E-06,1.15E-05,VPS13D
ENSG00000048740,71.23862301,0.154459894,0.069733918,2.214989479,0.026760787,0.062460609,CELF2
ENSG00000048991,54.75966607,0.152472853,0.042108911,3.620916549,0.000293561,0.001235185,R3HDM1
ENSG00000049130,9.635951575,-0.250899083,0.08485365,-2.956844897,0.003108044,0.009641457,KITLG
ENSG00000049246,10.35548554,-0.303631573,0.097240008,-3.122496377,0.001793243,0.005970811,PER3
ENSG00000049249,37.49604161,1.30855454,0.205055623,6.38146139,1.75E-10,5.83E-09,TNFRSF9
ENSG00000049283,22.89279241,-0.446161503,0.07431671,-6.003515296,1.93E-09,4.54E-08,EPN3
ENSG00000049656,997.6641035,0.118235568,0.060356616,1.958949582,0.050118692,0.106216599,CLPTM1L
ENSG00000049759,193.5069472,-0.453585544,0.134362019,-3.375846435,0.00073589,0.002744642,NEDD4L
ENSG00000049768,8.882166371,0.169063085,0.094817051,1.783045173,0.07457895,0.147628883,FOXP3
ENSG00000049860,1471.776625,-0.069956319,0.027739775,-2.521877696,0.011673029,0.03040353,HEXB
ENSG00000050030,9.064255322,-0.623367715,0.084719007,-7.358062077,1.87E-13,1.39E-11,NEXMIF
ENSG00000050130,188.4963651,0.110173216,0.040562499,2.716134779,0.006604902,0.018564032,JKAMP
ENSG00000050165,22.47633293,0.462362865,0.101768293,4.543289975,5.54E-06,3.92E-05,DKK3
ENSG00000050327,227.8820605,-0.15402536,0.087747364,-1.755327478,0.079203309,0.155336394,ARHGEF5
ENSG00000050344,58.207431,0.733236524,0.114468107,6.405596638,1.50E-10,5.09E-09,NFE2L3
ENSG00000050405,1145.125842,-0.293647837,0.086685029,-3.387526545,0.000705259,0.002641701,LIMA1
ENSG00000050426,45.54221898,-0.270290333,0.052870948,-5.11226568,3.18E-07,3.40E-06,LETMD1
ENSG00000050555,16.99936361,0.405629575,0.155001361,2.616942026,0.008872141,0.024014794,LAMC3
ENSG00000050730,45.34639874,2.754869837,0.274884145,10.02193063,1.22E-23,5.12E-21,TNIP3
ENSG00000050748,73.90338277,-0.245149842,0.048686206,-5.035303849,4.77E-07,4.80E-06,MAPK9
ENSG00000050767,12.95040791,0.607898609,0.139253897,4.365397466,1.27E-05,7.97E-05,COL23A1
ENSG00000050820,45.01477491,-0.179424248,0.055429001,-3.237010299,0.001207891,0.004217159,BCAR1
ENSG00000051009,86.01862989,-0.211488708,0.084692755,-2.497128698,0.012520351,0.032285495,FHIP1B
ENSG00000051108,806.3728502,0.319383112,0.093223143,3.426006674,0.000612525,0.002338925,HERPUD1
ENSG00000051180,52.38313567,0.130540769,0.076083576,1.715754912,0.08620691,0.166556556,RAD51
ENSG00000051341,52.4417226,0.200251892,0.1000895,2.000728268,0.045421681,0.097689019,POLQ
ENSG00000051382,69.6028156,-0.181195314,0.069200301,-2.618418015,0.008833852,0.023948731,PIK3CB
ENSG00000051523,2572.269323,0.510921031,0.079482265,6.428113621,1.29E-10,4.53E-09,CYBA
ENSG00000051825,23.66588062,0.36512398,0.082719503,4.414001132,1.01E-05,6.57E-05,MPHOSPH9
ENSG00000052126,59.81423564,-0.198960475,0.049814342,-3.994040022,6.50E-05,0.000330229,PLEKHA5
ENSG00000052723,77.28740976,-0.139849918,0.047091634,-2.969740158,0.002980517,0.009296005,SIKE1
ENSG00000052795,437.1503179,-0.45420584,0.081719335,-5.55811963,2.73E-08,4.15E-07,FNIP2
ENSG00000052841,195.8469508,-0.110957725,0.050206563,-2.210024322,0.027103474,0.063170459,TTC17
ENSG00000053254,105.3547351,-0.351832756,0.079083285,-4.44888901,8.63E-06,5.73E-05,FOXN3
ENSG00000053371,402.6811014,-0.150912542,0.057666097,-2.617006337,0.008870469,0.024014794,AKR7A2
ENSG00000053747,447.2792146,0.396651599,0.162916576,2.43469148,0.014904492,0.03762106,LAMA3
ENSG00000053770,193.5944781,-0.277874454,0.052314922,-5.311571548,1.09E-07,1.37E-06,AP5M1
ENSG00000054116,319.5445169,0.108582572,0.048276826,2.249165493,0.024501969,0.057849387,TRAPPC3
ENSG00000054148,504.3472024,0.092804604,0.047840283,1.93988409,0.052393778,0.110076563,PHPT1
ENSG00000054179,16.96318222,-0.166580864,0.0692392,-2.40587507,0.016133781,0.040311085,ENTPD2
ENSG00000054267,38.35583195,0.118813551,0.059033339,2.012651717,0.044151282,0.095326492,ARID4B
ENSG00000054277,347.438004,-0.534453521,0.123399286,-4.331090863,1.48E-05,9.13E-05,OPN3
ENSG00000054282,46.12054969,0.214507502,0.064893927,3.30550963,0.000948038,0.003421489,SDCCAG8
ENSG00000054392,21.47993359,-0.304548965,0.062096194,-4.904470711,9.37E-07,8.54E-06,HHAT
ENSG00000054598,8.934244418,0.436689939,0.116057758,3.762694941,0.000168092,0.000762653,FOXC1
ENSG00000054611,45.66177702,-0.198110684,0.049170622,-4.029045698,5.60E-05,0.000290516,TBC1D22A
ENSG00000054654,155.1380702,-0.445143779,0.082776039,-5.377688827,7.54E-08,1.01E-06,SYNE2
ENSG00000054690,13.40529341,-0.319987358,0.079097663,-4.045471729,5.22E-05,0.000273897,PLEKHH1
ENSG00000054793,76.47790556,-0.437715298,0.09611347,-4.554151462,5.26E-06,3.76E-05,ATP9A
ENSG00000054938,20.10767782,1.155330072,0.176985664,6.527817257,6.67E-11,2.58E-09,CHRDL2
ENSG00000054967,16.90052381,0.460855991,0.091302233,5.047587293,4.47E-07,4.55E-06,RELT
ENSG00000055130,346.2561135,0.089919436,0.042278258,2.126848187,0.033432699,0.075549083,CUL1
ENSG00000055147,78.63891748,0.173314285,0.056408547,3.072482715,0.002122861,0.006899632,FAM114A2
ENSG00000055163,41.60329856,0.17823803,0.092809509,1.920471633,0.054798353,0.11420093,CYFIP2
ENSG00000055208,56.45237885,-0.135280169,0.047372979,-2.855639897,0.00429502,0.012799323,TAB2
ENSG00000055211,273.4111629,-0.207512866,0.069633056,-2.980091336,0.002881624,0.009042058,GINM1
