gene_symbol,ENSEMBL_ID,IBD,IBD.1,non.IBD,non.IBD.1,non.IBD.2,IBD.2,IBD.3,non.IBD.3,IBD.4,non.IBD.4
BMP5,ENSG00000112175,15.09929999,19.06058734,50.38404633,260.4907875,230.9703649,387.8218858,37.53765465,327.7226197,22.06269593,105.6013965
COL21A1,ENSG00000124749,26.60352855,22.23735189,0,20.21049213,1.749775492,83.53086771,6.256275774,21.47864949,14.70846395,5.369562536
DST,ENSG00000151914,15976.49742,31894.71614,43315.88441,13190.71453,26343.45329,11395.1446,17104.65797,20089.46587,8632.397492,32351.61428
BEND6,ENSG00000151917,8.628171422,9.530293668,0,49.40342521,32.66247584,27.27538537,0,22.86436881,2.94169279,10.73912507
KIAA1586,ENSG00000168116,161.7782142,169.9569038,129.5589763,242.5259056,139.9820393,361.3988562,214.2774453,177.3720732,252.9855799,143.1883343
ZNF451,ENSG00000112200,1224.481328,1181.756415,1567.303727,1327.904187,1277.919367,1457.528406,1055.746537,1224.975881,1109.018182,1254.687779
BAG2,ENSG00000112208,161.0591999,189.0174911,57.58176724,232.7949279,66.49146868,461.9768398,218.9696521,207.8578983,267.6940439,60.85504207
RAB23,ENSG00000112210,366.6972854,468.572772,178.1435924,296.4205513,349.9550983,600.910834,308.1215819,326.3369003,285.3442006,168.2462928
PRIM2,ENSG00000146143,689.5346995,547.9918859,636.9983001,563.6481695,672.4970473,625.629152,462.9644073,528.6519214,438.3122257,434.9345654
MIR548U,ENSG00000212017,2.876057141,0,0,1.497073491,3.499550983,0,0,1.385719322,0,0
KHDRBS2,ENSG00000112232,20.85141427,6.353529112,30.59031385,17.21634515,19.24753041,16.19476007,0,38.10728136,4.412539185,3.579708357
LGSN,ENSG00000146166,2.876057141,0,3.598860452,11.97658793,6.999101967,229.2837083,3.128137887,39.49300068,20.59184953,152.1376052
PTP4A1,ENSG00000112245,6351.053181,10934.4236,16858.86179,13757.35685,14513.22119,7370.320542,11891.61618,15826.99324,6985.04953,12639.95021
PHF3,ENSG00000118482,5452.285324,4739.732718,7753.744845,5762.984405,5971.400495,5623.843522,4254.267526,5212.38323,4166.907837,6047.917269
EYS,ENSG00000188107,87.0007285,76.24234935,102.5675229,82.33904202,89.23855007,74.15495399,31.28137887,103.9289492,52.95047022,132.4492092
LMBRD1,ENSG00000168216,1784.593456,2191.967544,3408.120848,1884.066989,2054.819686,1884.558658,1684.502252,1609.512993,2369.533542,2212.259765
COL19A1,ENSG00000082293,75.49649994,77.83073162,55.78233701,58.38586616,64.15843469,138.9339942,98.53634344,196.0792841,66.18808778,48.32606282
COL9A1,ENSG00000112280,43.14085711,0,143.9544181,34.4326903,37.91180232,25.57067379,31.28137887,47.80731661,2.94169279,25.0579585
FAM135A,ENSG00000082269,3155.034683,5794.41855,5968.71006,2745.632783,4306.197485,2074.634,4019.657185,2910.010576,2213.623825,3771.222754
SMAP1,ENSG00000112305,1991.66957,2844.79266,2560.589212,1793.494043,2270.62533,1879.444523,2710.531479,1671.177502,1807.670219,2036.854055
B3GAT2,ENSG00000112309,0,0,0,0,0,0,0,0,0,0
OGFRL1,ENSG00000119900,445.0698425,306.5577797,161.9487204,292.6778676,213.47261,493.5140041,342.5310986,285.4581803,982.5253919,178.9854179
MIR30C2,ENSG00000199094,0,0,0,0,0,0,0,0,0,0
MIR30A,ENSG00000207827,0,0,0,0,0,0,0,0,0,0
LINC00472,ENSG00000233237,5.033099996,0,12.59601158,17.21634515,5.249326475,57.96019392,12.51255155,30.48582508,2.94169279,3.579708357
RIMS1,ENSG00000079841,8.628171422,3.176764556,0,66.61977036,15.16472093,17.04711586,1.564068944,40.87872,16.17931035,3.579708357
KCNQ5,ENSG00000185760,48.89297139,57.18176201,30.59031385,112.2805118,39.07831931,52.84605916,57.87055091,56.8144922,38.24200627,10.73912507
MIR4282,ENSG00000266180,0,0,0,0,0,0,0,0,0,0
KHDC1L,ENSG00000256980,2.876057141,0,0,0,1.166516994,1.704711586,0,4.157157966,0,0
KHDC1,ENSG00000135314,5.752114281,6.353529112,0,4.491220474,1.749775492,5.966490551,0,0,17.65015674,3.579708357
DPPA5,ENSG00000203909,0,0,0,0,0,0,0,0,0,0
OOEP,ENSG00000203907,1.43802857,0,0,0,0,6.818846344,0,0,1.470846395,0
DDX43,ENSG00000080007,45.29789996,95.30293668,35.98860452,110.7834384,15.74797942,113.3633205,31.28137887,31.17868475,94.13416928,46.53620864
MTO1,ENSG00000135297,948.3798421,867.2567238,838.5344854,907.2265357,751.2369444,1125.962002,744.4968171,920.8104895,942.8125392,889.5575268
EEF1A1,ENSG00000156508,73634.25294,67485.59785,51116.41444,80990.17881,56550.41086,80421.47378,55577.62584,78201.68422,64150.96552,55132.87826
SLC17A5,ENSG00000119899,1471.822242,2469.934442,2789.116851,1705.915243,2481.181647,1189.036331,2255.387417,2002.36442,1410.541693,2353.658245
CD109,ENSG00000156535,580.9635424,136.6008759,66.57891837,341.332756,114.3186655,1558.106389,430.1189595,295.8510753,1241.394357,53.69562536
COL12A1,ENSG00000111799,4319.118811,922.8501035,104.3669531,620.5369621,368.6193702,5303.357744,1013.516675,849.4459444,7991.108464,229.1013349
COX7A2,ENSG00000112695,2590.608469,4348.990677,4340.225706,2888.603301,3847.173048,2067.815154,2687.070445,2738.18138,2819.612539,2901.353624
TMEM30A,ENSG00000112697,5123.695796,8520.082539,6787.450813,4068.297213,4384.937382,5597.420492,5162.991583,3802.41382,6474.665831,5020.540971
FILIP1,ENSG00000118407,90.59579993,19.06058734,17.99430226,24.70171261,6.415843469,265.9350074,95.40820556,38.10728136,88.2507837,17.89854179
SENP6,ENSG00000112701,2790.494441,2679.600903,3071.627396,3345.210716,2955.370805,3419.651441,2439.947552,3095.004106,2853.442006,2614.976955
MYO6,ENSG00000196586,4861.974596,6582.25616,5068.994947,3467.222206,5505.960214,2908.237966,4449.776144,3196.854476,2728.420063,3343.447606
IMPG1,ENSG00000112706,17.25634284,12.70705822,19.79373249,5.988293965,12.24842844,3.409423172,6.256275774,11.08575458,2.94169279,10.73912507
HTR1B,ENSG00000135312,0,6.353529112,0,0,1.166516994,11.08062531,6.256275774,2.771438644,14.70846395,0
IRAK1BP1,ENSG00000146243,73.33945708,69.88882023,61.18062769,57.63732942,71.74079516,106.5444741,53.17834408,86.60745763,38.24200627,28.63766686
PHIP,ENSG00000146247,4021.446897,3421.375427,3816.59151,3809.303499,3209.67151,4576.298252,3203.213196,3232.883178,3716.82884,3307.650522
HMGN3,ENSG00000118418,393.300814,417.7445391,178.1435924,299.4146983,297.4618336,479.0239556,323.7622713,239.7294427,405.953605,261.3187101
LCA5,ENSG00000135338,95.62889992,28.590881,35.98860452,176.654672,73.49057065,242.921401,96.9722745,87.30031729,75.01316615,21.47825014
SH3BGRL2,ENSG00000198478,4864.850653,10300.65907,19737.95015,8526.58207,10912.18322,3482.72577,7713.98803,7386.576846,2863.737931,13624.37001
ELOVL4,ENSG00000118402,28.04155712,28.590881,7.197720905,27.69585959,19.24753041,65.63139606,6.256275774,34.64298305,5.88338558,28.63766686
TTK,ENSG00000112742,707.5100566,427.2748328,102.5675229,278.4556694,391.9497101,432.9967428,523.9630961,287.5367593,217.6852665,220.152064
BCKDHB,ENSG00000083123,1081.397485,1273.882587,1133.641043,848.0921328,1062.113723,545.5077075,929.0569525,768.3813641,678.0601881,1018.427028
IBTK,ENSG00000005700,4545.608311,7074.654666,3962.345358,3566.777593,4051.89678,4036.757035,5672.878058,5210.99751,4683.174922,3567.179378
TPBG,ENSG00000146242,555.7980424,892.6708403,390.4763591,643.7416013,593.1738917,513.1181873,309.6856508,560.5234658,407.4244514,436.7244196
UBE3D,ENSG00000118420,97.78594278,141.3660227,66.57891837,150.4558859,96.23765204,157.6858217,87.58786084,126.793318,163.2639498,96.65212564
PGM3,ENSG00000013375,1587.583542,2069.662108,717.9726603,1025.495342,757.0695294,1087.605992,1057.310606,882.0103485,1485.554859,753.5286092
RWDD2A,ENSG00000013392,202.0430141,198.5477848,179.9430226,154.9471064,131.8164204,155.1287543,156.4068944,131.6433356,261.8106583,114.5506674
ME1,ENSG00000065833,1791.064584,3726.344824,789.9498693,1028.489489,1381.156121,1249.553592,2497.818103,1024.739439,2079.776803,232.6810432
PRSS35,ENSG00000146250,12.22324285,12.70705822,3.598860452,12.72512468,8.748877458,9.375913722,9.384413661,15.9357722,14.70846395,0
SNAP91,ENSG00000065609,8.628171422,1.588382278,0,2.245610237,2.333033989,3.409423172,0,0.692859661,0,0
RIPPLY2,ENSG00000203877,0,0,0,0,0,0,0,0,0,0
